Pubmed ID,Temperature,Diet,Details,Wild type lifespan (days),Gene 1,Intervention on gene 1,Gene 1 single mutant lifespan (days),"Gene(s) 2(,3)","Intervention(s) on gene 2(,3)","Gene(s) 2(,3) mutant lifespan (days)","Double (triple) mutant (genes 1,2,(3)) lifespan (days)",Phenotype description,Organism
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13.6,aakg-4,RNAi,12.9,daf-2;rsks-1,e1370;ok1255,50.5,26,"aakg-4, which encodes the gamma regulatory subunit of AMPK, showed the strongest suppression of daf-2 rsks-1 upon inhibition",6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,aakg-4,RNAi,12.9,daf-2;rsks-1,e1370;ok1255,50,24.4,"aakg-4, which encodes the gamma regulatory subunit of AMPK, showed the strongest suppression of daf-2 rsks-1 upon inhibition",6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,rsks-1,ok1255,14.7,daf-2,e1370,31.8,58.7,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,rsks-1,ok1255,15.2,daf-2,e1370,33.7,53.4,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,aak-2,ok524,10.2,rsks-1,ok1255,14.7,9.7,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,aak-2,ok524,11.3,rsks-1,ok1255,15.2,9,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,aak-2,ok524,10.2,daf-2,e1370,31.8,22.5,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,aak-2,ok524,11.3,daf-2,e1370,33.7,18.6,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,aak-2,ok524,10.2,daf-2;rsks-1,e1370;ok1255,58.7,26.6,"A deletion in aak-2, which encodes the alpha catalytic subunit of AMPK suppressed the synergistic longevity of daf-2 and rsks-1",6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,aak-2,ok524,11.3,daf-2;rsks-1,e1370;ok1255,53.4,22.6,"A deletion in aak-2, which encodes the alpha catalytic subunit of AMPK suppressed the synergistic longevity of daf-2 and rsks-1",6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,rsks-1,ok1255,15.1,daf-2,e1370,34.4,62.8,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,rsks-1,ok1255,15.4,daf-2,e1370,33.1,61.6,The daf-2 rsks-1 double mutant showed a synergistic lifespan extension compared to the wild-type N2,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,glp-1,ar202,11.1,rsks-1, ok1255,15.1,11.7,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,glp-1,ar202,10.2,rsks-1, ok1255,15.4,10.1,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,glp-1,ar202,11.1,daf-2,e1370,34.4,37.3,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,glp-1,ar202,10.2,daf-2,e1370,33.1,38.2,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",12.8,glp-1,ar202,11.1,daf-2;rsks-1,e1370;ok1255,62.8,40.1, glp-1(gf) suppressed the synergistic lifespan extension by daf-2 rsks-1.,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",13,glp-1,ar202,10.2,daf-2;rsks-1,e1370;ok1255,61.6,43.5, glp-1(gf) suppressed the synergistic lifespan extension by daf-2 rsks-1.,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,daf-12,RNAi,,daf-2;rsks-1,e1370;ok1255,50.1,37, Inhibition of daf-12 by RNAi decreased the lifespan of daf-2 rsks-1,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,daf-12,RNAi,,daf-2;rsks-1,e1370;ok1255,51.3,40.2, Inhibition of daf-12 by RNAi decreased the lifespan of daf-2 rsks-1,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,kri-1,RNAi,,daf-2;rsks-1,e1370;ok1255,50.1,40.1, Inhibition of kri-1 by RNAi decreased the lifespan of daf-2 rsks-1,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,kri-1,RNAi,,daf-2;rsks-1,e1370;ok1255,51.3,42.4, Inhibition of kri-1 by RNAi decreased the lifespan of daf-2 rsks-1,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,rsks-1,RNAi,,daf-2,e1370,27.6,44.7,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,rsks-1,RNAi,,daf-2,e1370,27.8,42.7,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,rsks-1,RNAi,,daf-2,e1370,28.9,42.2,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,daf-16,RNAi,,daf-2;rsks-1,e1370;ok1255,50.1,16.6,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,daf-16,RNAi,,daf-2;rsks-1,e1370;ok1255,50.8,15.5,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,daf-16,RNAi,,daf-2;rsks-1,e1370;ok1255,51.3,15.6,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,hsf-1,RNAi,,daf-2;rsks-1,e1370;ok1255,50.1,15,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,hsf-1,RNAi,,daf-2;rsks-1,e1370;ok1255,50.8,12.7,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,hsf-1,RNAi,,daf-2;rsks-1,e1370;ok1255,51.3,14.2,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,aak-2,RNAi,,daf-2;rsks-1,e1370;ok1255,50.1,22.1,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,aak-2,RNAi,,daf-2;rsks-1,e1370;ok1255,50.8,21.8,,6239
24332851,25,,"Animals were maintained at 15°C or 20°C until late L4 stages and then transferred to fresh NGM plates with 5-fluoro-2'-deoxyuridine (FUdR, 10 µg / ml) at 25°C. The first day of adulthood is Day 1 in survival curves.",,aak-2,RNAi,,daf-2;rsks-1,e1370;ok1255,51.3,20,,6239
19249087,15,OP50,,23.8,daf-18,RNAi,19.5,daf-2,e1370,38.9,24.5,,6239
19249087,15,OP50,,23.8,pptr-1,RNAi,22.8,daf-2,e1370,38.9,29.8,Knockdown of pptr-1 resulted in a significant reduction in daf-2(e1370) lifespan,6239
19249087,15,OP50,,23.7,daf-18,RNAi,18.4,daf-2,e1370,35.9,22.5,,6239
19249087,15,OP50,,23.7,pptr-1,RNAi,22.3,daf-2,e1370,35.9,30.5,Knockdown of pptr-1 resulted in a significant reduction in daf-2(e1370) lifespan,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",13.5,nhr-80,tm1011,12,glp-1,e2141ts,20,11.5,"Although the nhr-80(tm1011) allele does not affect the lifespan of wild type animals, it fully suppresses that of glp-1(e2141ts)mutants.",6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",16.5,nhr-80,tm1011,15,glp-1,e2141ts,20,12.5,"Although the nhr-80(tm1011) allele does not affect the lifespan of wild type animals, it fully suppresses that of glp-1(e2141ts)mutants.",6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood.",,nhr-80,RNAi,,daf-2,e1370,39.5,39,daf-2(e1370) mutant animals are long-lived due to a reduction-of-function mutation in the insulin receptor and are not affected by nhr-80 RNAi treatment.,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood.",,daf-16,RNAi,,daf-2,e1370,39.5,18.5,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood.",,nhr-80,RNAi,,daf-2,e1370,41.5,42.5,daf-2(e1370) mutant animals are long-lived due to a reduction-of-function mutation in the insulin receptor and are not affected by nhr-80 RNAi treatment.,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood.",,daf-16,RNAi,,daf-2,e1370,41.5,19,,6239
21423649,20,HT115," For cyc-1 RNAi experiments (and associated controls), larvae were left at 15°C for 24 h, shifted to 25°C for 24 h, and shifted back to 20°C at the L4 stage to avoid dauer formation or other larval arrest.",19.5,cyc-1,RNAi,30,nhr-80,tm1011,15.5,32,"cyc-1 RNAi, which reduces mitochondrial function, extend longevity to a comparable extent in nhr-80(tm1011) mutants and in wild type animals, suggesting that these pathways are not affected by NHR-80.",6239
21423649,20,HT115," For cyc-1 RNAi experiments (and associated controls), larvae were left at 15°C for 24 h, shifted to 25°C for 24 h, and shifted back to 20°C at the L4 stage to avoid dauer formation or other larval arrest.",16.5,cyc-1,RNAi,20,nhr-80,tm1011,15,19.5,"cyc-1 RNAi, which reduces mitochondrial function, extend longevity to a comparable extent in nhr-80(tm1011) mutants and in wild type animals, suggesting that these pathways are not affected by NHR-80.",6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,nhr-80,tm1011,,glp-1,e2141ts,26.5,11.5,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,nhr-80,RNAi,,glp-1,e2141ts,26.5,12.5,nhr-80 RNAi  suppresses the lifespan of glp-1(e2141ts) mutant animals,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,nhr-80,tm1011,,glp-1,e2141ts,20,11.5,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,nhr-80,RNAi,,glp-1,e2141ts,20,10.5,nhr-80 RNAi  suppresses the lifespan of glp-1(e2141ts) mutant animals,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,nhr-80,RNAi,,glp-1;daf-16,e2141ts; m86,12,7,nhr-80 RNAi decreases lifespan in daf-16(mu86);glp-1(e2141ts),6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,nhr-80,RNAi,,glp-1;daf-16,e2141ts; m86,10.5,6,nhr-80 RNAi decreases lifespan in daf-16(mu86);glp-1(e2141ts),6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-5,tm420,,glp-1,e2141ts,27.5,27.5,Deletion of the fat genes independently in glp-1(e2141ts) mutant animals does not affect longevity ,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-6,tm331,,glp-1,e2141ts,27.5,23,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-7,wa36,,glp-1,e2141ts,27.5,27.5,Deletion of the fat genes independently in glp-1(e2141ts) mutant animals does not affect longevity ,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-5,tm420,,glp-1,e2141ts,26,23.5,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-6,tm331,,glp-1,e2141ts,26,21,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-7,wa36,,glp-1,e2141ts,26,21,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-5; fat-6,tm420; tm331,,glp-1,e2141ts,26,20,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-5;fat-7,tm420; wa36,,glp-1,e2141ts,26,26,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-5; fat-6,tm420; tm331,,glp-1,e2141ts,22.5,15.5,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",,fat-5;fat-7,tm420; wa36,,glp-1,e2141ts,22.5,17,,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",13,fat-2,RNAi,15.5,glp-1,e2141ts,29.5,27,fat-2 RNAi does not affect the lifespan of glp-1(e2141ts) mutants,6239
21423649,20,HT115,"All assays were performed at 20°C, starting from day 1 of adulthood. For glp-1(e2141ts) mutants, lifespan assays (and associated controls), animals were grown at 25°C from the L1 stage until the L4 stage to prevent germ cell proliferation.",13,fat-2,RNAi,15.5,glp-1,e2141ts,29,23,fat-2 RNAi does not affect the lifespan of glp-1(e2141ts) mutants,6239
