Intervention(s),Counts
gk101,3
ok769;ad609;ia4,3
e1370;ad609,3
vp1,3
e1368;nr2041,3
qm30;qm37,3
sv32;qm150,3
rh61rh411,3
ok1744;pk1426,3
gk3094,3
ft15;mu86,3
e1370;ok275,3
qm200;n1162;sv32,3
e1406,3
ok769;ad609;sa307,3
qm150;n1162;sv32,3
mgDf47;ak47,3
ok999;ok328,3
qm200;n1162;n1084n3082,3
mgdf50,3
e1370;ok769;ad609,3
tm1246,3
tm1724,3
ok485,3
e912,3
km25,3
gk138;fc21,3
n487,3
qm150;ok799,3
sa709,3
mu86;ad609,3
m79,3
n1084n3082;qm200,3
e246,3
mg142,3
m596,3
ad1116;rh50,3
e1368;zc12,3
sv32;qm200,3
e2519;qm37,3
ad609;sa307,3
n1084n3082;qm150,3
tm760,3
qm150;n1162;n1084n3082,3
ad609;ia4,3
nr2004,3
n1162;qm200,3
mu86;ad609;ok769,3
e928,3
ad609;mu86,3
bn17,3
e1370;zu129,3
sj173,2
ju145,2
e1370;qm200,2
mg344;mg306,2
pk349;n1605,2
oy21,2
zu225,2
mgDf47;xuEx916,2
mg348,2
e1370; tm1714,2
tm3188;ok393,2
tm3188;mg329,2
nr2037,2
bn2;e1370,2
e1368;zu67,2
tm3188;tm2447,2
e1370;tm1714,2
s69,2
ar202;e1370;ok1255,2
qm150;qm189,2
ok1396,2
mg306;mu86,2
bp283;e1370,2
ok3091,2
p675;mu86,2
tm3188;mg306,2
p813,2
e1390,2
qm38;e2400,2
m130,2
ar202; ok1255,2
sy441;tm1714,2
KD;KD,2
xuEx916,2
ade465,2
fc21;gk138,2
tm3411,2
e1370;mgdf90,2
 ok1255,2
zu169,2
e2141ts;nr2041,2
e450,2
we3,2
mg451,2
tm3188;e2141,2
bp283,2
qm38;qm37,2
tm1530;e1370,2
nr2037;e1370,2
bn2,2
tm3188;mg455,2
ky10;ak47,2
mu86;e1372,2
tm1714;mu86,2
ok524;ok1255,2
m81; e1282,2
ok2165,2
e1370;we3,2
mg306;mg455,2
ok538;xuEx601,2
ok3235,2
e450;mu86,2
pk18,2
sc13; mg44,2
ad1116;ok799,2
p675,2
ok524;e1370,2
hx546;b26;e1370,2
mgDf47;e1370;ok1255,2
sa191,2
tm3188;mg337,2
m79;ok1387,2
xuEx601;mgDf47,2
ok525;ok393,2
e1370;vp1,2
tm2447,2
e1370;e1375,2
xuEx1266;mgDf47,2
m20,2
pkIs540;n1605,2
m26;lg601,2
n179,2
e1368;ok799,2
ok524;e1370;ok1255,2
tm1714;ok524,2
cg116;ok3235,2
e1370;ok2710,2
pkIs539,2
v33,2
mgDf90;e1372,2
mg450,2
mg306;ut187,2
tm1011;e2141ts,2
qm38;e2519,2
ar202;e1370,2
tm339;e1370,2
tm760;tm1246,2
e1370;e2519,2
m26;e2519,2
e2519;e1370,2
ut187,2
cg116;ok2916,2
ok538;xuEx913,2
e1375,2
e1386,2
p811,2
pkls539;n1605,2
tm3188;mg344,2
kn1,2
mgDf47;p811,2
e1370;ok1387,2
mgDf47;xuEx913,2
ok2916,2
qm38;qm30,2
bn2ts,2
ia3,2
lg601;e1370,2
e1370;n1605,2
e1369,1
ok198;gk7,1
e1368;ok524,1
pk1426;zu135,1
sj173;e1370;sj134,1
qm150;qm200,1
it47ts,1
tm1994,1
mgDf47;mg451,1
pk1426;e1368,1
e450;ok434,1
ok1947,1
n498;n1186;xuEx601,1
gk7,1
mg144,1
mg306;mg329,1
e1368;mg54,1
ok1030;qm150,1
ok1030;ad1116,1
e246;e1370,1
m577; tm5539,1
km2,1
e1370;ok999,1
qm159,1
ok1207;hx546,1
mg198,1
ok524;ok1387,1
bp283;mu86,1
m26;e2400,1
e1370;ok524,1
m26;e1370;lg601,1
nr2004;e1370,1
e1376,1
ft4,1
mg44,1
sy441;ok1387,1
ad1116;qm150,1
mg306;mg451,1
sj173;e1370,1
e2141;pk924,1
tm1246;tm783,1
ft1,1
ok198;ks54,1
ia04;ok1255,1
gf;e1369,1
ok1744;mgDf47,1
s69; mu86;ok434,1
ok1474;e1370,1
e1368;ok275,1
lpEx21,1
e1370;qm159,1
ad1116;pk1426,1
ok1207;mg142,1
qm150;gk138,1
mu86;pkIs539,1
wuIs156,1
mg306;ft15,1
mg305,1
e1370;sj134,1
mgDf47;mg450,1
e1370;ok559,1
qm200;gk138,1
e408,1
mgDf90;e1370,1
tm2416,1
ok1030;e1370,1
mu86;pk15,1
e1370;sy441,1
e1370;lg601,1
ok524;pk1255,1
e1368;tm5030,1
e1406;e1376,1
mg338;mgDf47,1
mg344;e1370,1
s69;ok434,1
tm760;tm783,1
qm151,1
ok198;e1368,1
ia04;e1370,1
gk101;e1370,1
qm169,1
gf;e1370,1
oy21;xuEx619,1
ad1113;ok434,1
sa191;m20,1
ok169,1
xuEx619,1
tm1907;tm339,1
gf;m577,1
sc13; mg44;mg144,1
e928;e1370,1
s69; mu86,1
mgDf47;ft4,1
mg338,1
tm3036,1
e450;mu86;ok434,1
pkIs539;pk298te,1
pk15;pk298te,1
e1370;e2400,1
gf;e979,1
e1370;tm783;ok1030;tm760;gk101;tm1146,1
ok1030;tm783,1
e1370;ok434,1
gk101;tm783,1
e1370;pk924,1
mu86;m79,1
sj134,1
ia04;sa307,1
m26;d465,1
qm150;sa307,1
m81; e1282;mgDf47; e1282,1
tm1724;e1370,1
mg44d,1
mgDf47;ok559,1
d465;e1370,1
xuEx606;mgDf47,1
tm1994; ok524,1
e1370;xuEx601,1
zls3000,1
mu86;p678,1
pkls539;e1370;n1605,1
m27;e928,1
pk924;mg455,1
mg306;mg227,1
ad465;ok434,1
xuEx606,1
h98;e61;e450,1
e979,1
n1605;pk298te,1
ia04;zu67,1
kn-1,1
ok1744;mg305,1
e1370;ok551,1
ok161;ia4,1
ia04;mu86,1
mg227,1
ok1030;qm30,1
qm152,1
n1605;pk15,1
ky10,1
ok1207;ok538,1
tm1724;m184,1
km25;ok1387,1
tm1724;mu86,1
gk-7;xuEx601,1
qm130,1
ag3,1
qm200;ad1116,1
sc13; mg44;m27,1
e1370;tm1108,1
ok485;e1370,1
qm30;sa307,1
tm2308,1
e1368;zu129,1
mu86;n1605,1
mg44;ok559,1
p802;e1370,1
ok1947;tm1978,1
e1406;m26,1
mg345;mgDf47,1
e912;n179,1
pk15;e1370,1
p678,1
op236,1
e1370;tm1516,1
pk1426;zu129,1
tm783;ok1030;tm760;gk101;tm1146,1
e1370;gk15,1
e138;m634,1
mg345,1
gk15,1
e1370;km25,1
bp283;e1370;mu86,1
m26;qm38,1
ok198;hx546,1
pk349;pk15,1
m79;e1370,1
m27;e246,1
qm164,1
pk924;ft15,1
qm150;ia4,1
e246;e928,1
s69;mu86,1
e1372;ok186,1
geIn3,1
tm420,1
pk1255,1
mu86;p813,1
mu86;p802,1
qm30;d465,1
sa191;m26,1
ok1207;e1370,1
ok999;xuEx913,1
pk349;e1370,1
mg329;mg306,1
mg348;mg306,1
pk1426;zu67,1
ok1558;ok1733,1
ok1030;tm760;tm1246,1
e1370;m25,1
ok1207;mu86,1
e1370;ok1558;ok1733,1
hx546;b26;e1375,1
ok1207;ok1474,1
ad465;tm1516,1
e246;ok434,1
ok691,1
tm1452;e1368,1
lpEx22,1
mu86;ok1387,1
mg306;mg337,1
e1370; e1282,1
tm311,1
qm150;ok161,1
m20;e1370,1
sa680,1
e1368;tm5032,1
qm30;ia4,1
tm1108;hx546,1
mg306;mg348,1
tm783;tm760;tm1246,1
ok551,1
ok1474;mu86,1
sa680;m27,1
gk-7,1
tm760;ok1030,1
ok1030;e2141,1
m184,1
pk349;e1370;n1605,1
gk138;e2519,1
tm1246;ok1030,1
d465;e2519,1
e1370;qm169,1
hx546;tm1108,1
n1605;e1370,1
mu86;ok524,1
n498;n1186,1
tm1246;tm760,1
qm162,1
e1370;qm152,1
m577;ok524,1
e1368;it47ts,1
ad465;tm1530,1
e1370;qm151,1
pk298te;pk349,1
ok1474;ok538,1
mgDf47; e1282,1
mgDf47;ft1,1
mgDf50;wuIs156,1
mg306;ok393,1
v33;ia04,1
hx546;b26;e2400,1
e1370;qm37,1
ok198;km2,1
e1406;m20,1
km4,1
lg12501,1
mu86;nr2004,1
tm2416;tm2308,1
m86,1
pkls539;e1370,1
sj134;e1370,1
hx546;b26;m26,1
mgDf47;pk924,1
mu86;m86,1
lpIn1,1
ok328;xuEx1266,1
mg306;xuEx601,1
e1370;qm164,1
ks54,1
qm30;ok161,1
ok593,1
tm783;ok1030;gk101,1
e1370;qm38,1
ok1744;e1370,1
p802,1
oy21;xuEx601,1
m81; e1282;e1370; e1282,1
ok1030;gk101,1
pk924;ok538,1
sa307;ok1255,1
tm1907; tm339,1
ok1744;mg306,1
gk101;ok1030,1
ok393;xuEx601,1
ok1744;sa709,1
e2400;qm37,1
ok1474;hx546,1
qm150;qm150,1
m26;qm150,1
ok999;xuEx1266,1
ok1207;mg144,1
sa307;ad1116,1
tm1907,1
e1370;qm162,1
pk15;pkIs539,1
mg306;mg450,1
pkIs540,1
e1370;qm150,1
mu86;pk298te,1
